"text","cmp_code","eu_code"
"We applaud the approaches taken by states like New York and California.","301",NA
"We also support creating one fair wage for all workers by ending the sub-minimum wage for tipped workers and people with disabilities.","701",NA
"Democrats support a model employer executive order or some other vehicle to leverage federal dollars to support employers who provide their workers with a living wage,","701",NA
"good benefits,","701",NA
"and the opportunity to form a union without reprisal.","701",NA
"The one trillion dollars spent annually by the government on contracts, loans, and grants should be used to support good jobs that rebuild the middle class.","410",NA
"Protecting Workers’ Fundamental Rights","H",NA
"The Democratic Party believes that when workers are strong, America is strong.","701",NA
"Democrats will make it easier for workers, public and private, to exercise their right to organize and join unions.","701",NA
"We will fight to pass laws that direct the National Labor Relations Board to certify a union if a simple majority of eligible workers sign valid authorization cards,","701",NA
"as well as laws that bring companies to the negotiating table.","701",NA
"We support binding arbitration to help workers who have voted to join a union reach a first contract.","701",NA
"A major factor in the 40-year decline in the middle class is that the rights of workers to bargain collectively for better wages and benefits have been under attack at all levels.","701",NA
"Donald Trump would make matters worse by creating a race to the bottom where the middle class is fighting over fewer and fewer good-paying jobs.","701",NA
"In fact, Trump rejected some attempts by his own employees to unionize","305.2",NA
"and has personally hired union-busting firms to undermine workers’ rights.","305.2",NA
"Democrats believe so-called “right to work” laws are wrong for workers—such as teachers and other public employees who serve our communities every day—and wrong for America.","701",NA
"We will continue to vigorously oppose those laws and other efforts that would eliminate dues check-off procedures,","701",NA
"roll-back prevailing wage standards,","701",NA
"abolish fair share requirements,","701",NA
"restrict the use of voluntary membership payments for political purposes,","701",NA
"attack seniority, restrict due process protections,","701",NA
"and require annual recertification efforts.","701",NA
"We oppose legislation and lawsuits that would strike down laws protecting the rights of teachers and other public employees.","701",NA
"We will defend President Obama's overtime rule, which protects of millions of workers by paying them fairly for their hard work.","701",NA
"The Democratic Party believes consumers, workers, students, retirees, and investors who have been mistreated should never be denied their right to fight for fair treatment under the law.","503",NA
"That is why we will support efforts to limit the use of forced arbitration clauses in employment and service contracts, which unfairly strip consumers, workers, students, retirees, and investors of their right to their day in court.","403",NA
"Supporting Working Families","H",NA
"We will fight to secure equal pay for women, which will benefit all women and their families,","503",NA
"particularly women of color who are disproportionately impacted by discriminatory pay practices, and against other factors that contribute to the wage gap.","503",NA
"And we will combat the discrimination they face on and off the job.","503",NA
"While Donald Trump thinks it is “dangerous” for women to leave the home and paid family leave hurts our economy,","604",NA
"Democrats will make sure that the United States finally enacts national paid family and medical leave by passing a family and medical leave act that would provide all workers at least 12 weeks of paid leave to care for a new child or address a personal or family member’s serious health issue.","503",NA
"We will fight to allow workers the right to earn at least seven days of paid sick leave.","403",NA
"We will also encourage employers to provide paid vacation.","403",NA
"Our work and family policies must also help family caregivers.","503",NA
"We will ensure that family caregivers have the support, respite care, and training they need to support their loved ones.","506",NA
"We will create a strong stable paid caregiving workforce to help meet families' needs, by raising wages, improving access to training, and giving workers the opportunity to come together to make their voices heard in support of a stronger system.","506",NA
"We will address the conditions that make it hard for workers with unpredictable or inflexible schedules to meet caregiving responsibilities.","701",NA
"We will take steps to expand and strengthen the home care workforce.","506",NA
"We will increase investments  to make quality childcare more affordable,","506",NA
"boost wages for childcare workers,","503",NA
"and support the millions of people paying for, coordinating, or providing care for aging relatives or those with disabilities.","506",NA
"Helping More Workers Share in Near-Record Corporate Profits","H",NA
"Corporate profits are at near-record highs,","403",NA
"but workers have not shared through rising wages.","403",NA
"Profit-sharing is linked to higher pay and productivity.","403",NA
"That is why, working with business, labor, and other stakeholders,","405",NA
"we will incentivize companies to share profits with their employees on top of wages and pay increases,","403",NA
"while targeting the workers and businesses that need profit-sharing the most.","403",NA
"Expanding Access to Affordable Housing and Homeownership","H",NA
"Whereas the Republican Presidential nominee rooted for the housing crisis,","305.2",NA
"Democrats will continue to fight for those families who suffered the loss of their homes.","403",NA
"We will help those who are working toward a path of financial stability and will put sustainable home ownership into the reach of more families.","401",NA
"Democrats will also combat the affordable housing crisis and skyrocketing rents in many parts of the country,","403",NA
"which is leading too many families and workers to be pushed out of communities where they work.","403",NA
"We will preserve and increase the supply of affordable rental housing by expanding incentives to ease local barriers to building new affordable rental housing developments in areas of economic opportunity.","402",NA
"We will substantially increase funding for the National Housing Trust Fund to construct, preserve, and rehabilitate millions of affordable housing rental units.","409",NA
"Not only will this help address the affordable housing crisis, it will also create millions of good-paying jobs in the process.","701",NA
"Democrats believe that we should provide more federal resources to the people struggling most with unaffordable housing: low-income families, people with disabilities, veterans, and the elderly.","503",NA
"We will expand efforts to address the lingering effects of the foreclosure crisis through programs like the federal Neighborhood Stabilization Program.","409",NA
"We will also expand programs to prevent displacement of existing residents,","409",NA
"especially in communities of color;","503",NA
"create affordable and workforce housing;","403",NA
"and preserve neighborhood-serving nonprofit organizations and small businesses.","403",NA
"We will reinvigorate housing production programs, repair public housing, and increase funding for the housing choice voucher program and other rental assistance programs.","409",NA
"And we will fight for robust funding to end homelessness in our cities and counties once and for all, through targeted investments to provide the necessary outreach, social services, and housing options for all populations experiencing homelessness.","503",NA
"We will engage in a stronger, more coordinated, and better funded partnership among federal, state, and local governments to end chronic homelessness for millions of Americans.","503",NA
"We will build on and expand President Obama's promising initiatives to end veteran and family homelessness in our country.","503",NA
"We must make sure that everyone has a fair shot at homeownership.","401",NA
"We will keep the housing market robust and inclusive by supporting more first-time homebuyers and putting more Americans into the financial position to become sustainable homeowners;","403",NA
"preserving the 30-year fixed rate mortgage; modernizing credit scoring; clarifying lending rules; expanding access to housing counseling; defending and strengthening the Fair Housing Act;","403",NA
"and ensuring that regulators have the clear direction, resources, and authority to enforce those rules effectively.","403",NA
"We will prevent predatory lending by defending the Consumer Financial Protection Bureau (CFPB).","403",NA
"These steps are especially important because over the next decade most new households will be formed by families in communities of color, which typically have less generational wealth and fewer resources to put towards a down payment.","503",NA
"Protecting and Expanding Social Security","H",NA
"Democrats are proud to be the party that created Social Security, one of the nation’s most successful and effective programs.","504",NA
"Without Social Security, nearly half of America’s seniors would be living in poverty.","504",NA
"Social Security is more than just a retirement program.","504",NA
"It also provides important life insurance to young survivors of deceased workers and provides disability insurance protection.","503",NA
"We will fight every effort to cut, privatize, or weaken Social Security, including attempts to raise the retirement age, diminish benefits by cutting cost-of-living adjustments, or reducing earned benefits.","504",NA
"Democrats will expand Social Security so that every American can retire with dignity and respect,","504",NA
"including women who are widowed or took time out of the workforce to care for their children, aging parents, or ailing family members.","503",NA
"The Democratic Party recognizes that the way Social Security cost-of- living adjustments are calculated may not always reflect the spending patterns of seniors, particularly the disproportionate amount they spend on health care expenses.","504",NA
"We are committed to exploring alternatives that could better and more equitably serve seniors.","504",NA
"We will make sure Social Security’s guaranteed benefits continue for generations to come by asking those at the top to pay more,","504",NA
"and will achieve this goal by taxing some of the income of people above $250,000.","403",NA
"The Democratic Party is also committed to providing all necessary financial support for the Social Security Administration so that it can provide timely benefits and high-quality service for those it serves.","504",NA
"Our plan contrasts starkly with Donald Trump.","305.2",NA
"He has referred to Social Security as a “Ponzi scheme” and has called for privatizing it as well as increasing the retirement age.","504",NA
"Ensuring a Secure and Dignified Retirement","H",NA
"Democrats believe it should be easier for Americans to save for retirement and prepare for unforeseen risks and expenses.","706",NA
"We will defend the right of workers to collect their defined benefit pensions and make sure workers get priority and protection when pension plans are in distress.","701",NA
"Democrats will also fight to enact legislation to make sure that the earned pension benefits of Americans will not be cut,","403",NA
"and will pay for it by closing tax loopholes that benefit millionaires and billionaires.","403",NA
"We will fight against any attempt by Republicans in Congress or on Wall Street to roll back the Conflict of Interest Rule, which requires that retirement advisors put the best interests of their clients above their own financial gain.","403",NA
"Seniors should not have to choose between putting food on the table, keeping a roof over their heads, or buying the medication that they need to stay healthy.","706",NA
"We strongly support the Older Americans Act, which funds critical programs to help seniors remain independent in their own homes and communities.","504",NA
"We are also committed to fighting the immense problem of elder abuse, neglect, and exploitation.","503",NA
"Revitalizing Our Nation’s Postal Service","H",NA
"The United States Postal Service (USPS) is a national treasure.","504",NA
"That is why Democrats embrace a vibrant, public Postal Service that offers universal service, and reject any effort to privatize or marginalize it.","504",NA
"We are committed to eliminating the unsustainable mandate to “pre-fund” retiree health costs.","504",NA
"And we will work to restore service to appropriate levels, including overnight delivery of first-class mail and periodicals within the same metropolitan area, maintaining six-day and door-to-door delivery, and appointing members to the Board of Governors and the Postal Regulatory Commission who champion a strong public Postal Service.","504",NA
"Democrats also advocate for expanding postal services.","504",NA
"This includes offering basic financial services such as paycheck cashing and removing statutory restraints on services the USPS may offer.","504",NA
"It also includes promoting vote-by-mail to increase voter participation and to help address the scourge of voter suppression.","202.1",NA
"Create Good-Paying Jobs","H",NA
"Democrats know that nothing is more important than creating good-paying jobs that can support a middle-class life","701",NA
"—from nurses, firefighters, and teachers to construction workers, factory workers, and small business owners.","706",NA
"That is why we are committed to doing everything we can to build a full-employment economy, where everyone has a job that pays enough to raise a family and live in dignity with a sense of purpose.","701",NA
"Democrats will build strong, sustained, shared economic growth.","410",NA
"We know that when Americans come together, we can do amazing things.","606.1",NA
"In the last century, our leaders came together across the aisle to electrify the nation, build the Interstate Highway System, support groundbreaking research in medicine, science, and communications, and send a man to the moon.","606.1",NA
"When we are bold and ambitious, we can do big things and make our economy stronger for decades to come.","410",NA
"Building 21st Century Infrastructure","H",NA
"If we are serious about reversing the decline of the middle class, we need major federal investments to rebuild our crumbling infrastructure","411",NA
"and put millions of Americans back to work in decent paying jobs in both the public and private sectors.","701",NA
"The climate emergency","501",NA
"and the need to expand the middle class","704",NA
"demand that we make the most ambitious investment in American infrastructure since President Eisenhower created the interstate highway system.","411",NA
"We will put Americans to work updating and expanding our roads, bridges, public transit, airports, and passenger and freight rail lines.","411",NA
"We will build 21st century energy and water systems, modernize our schools, and continue to support the expansion of high-speed broadband networks.","411",NA
"We will protect communities from the impact of climate change and help them to mitigate its effects by investing in green and resilient infrastructure.","501",NA
"We will address the backlog of deferred maintenance in our four key public land management agencies.","501",NA
"And we will protect public health and safety by modernizing drinking and wastewater systems.","501",NA
"These investments will create secure, good-paying middle-class jobs today and will substantially increase demand for American-made steel and other products manufactured in the United States.","701",NA
"And by boosting economic growth in a fair and equitable way, and strengthening our long-term competitiveness, these investments will create many more jobs in the years to come.","701",NA
"Democrats will also create an independent, national infrastructure bank that will support critical infrastructure improvements.","411",NA
"This bank will provide loans and other financial assistance for investments in energy, water, broadband, transportation, and multi-modal infrastructure projects.","411",NA
"Democrats will continue to support the interest tax exemption on municipal bonds and will work to establish a permanent version of Build America Bonds as an additional tool to encourage infrastructure investment by state and local governments.","402",NA
"Furthermore, Democrats will fight to ensure resources and programs are adequately targeted to provide economic development, job training, and critical infrastructure investment in areas of the greatest need.","411",NA
"Fostering a Manufacturing Renaissance","H",NA
"Democrats believe one of the best ways to innovate, prosper, and create good-paying jobs is to make more in America, which is why we firmly support American manufacturing with a “Make it in America” plan.","701",NA
"We must revitalize hard-hit manufacturing communities;","701",NA
"create thriving hubs of manufacturing and innovation throughout the country;","701",NA
"and claw back tax breaks for companies that ship jobs overseas, using the proceeds to reinvest in communities and workers at home instead.","402",NA
"Democrats are proud of rescuing the auto industry from collapse, which saved more than a million jobs, and led the auto industry, which is at the heart of American manufacturing, to record sales.","402",NA
"Democrats will defend the Export-Import Bank, which supports good-paying jobs across the country and allows American workers and manufacturers to compete on a level playing field.","402",NA
"Donald Trump may talk tough, but he has consistently outsourced his own products.","305.2",NA
"American workers deserve better.","701",NA
"Creating Good-Paying Clean Energy Jobs","H",NA
"We must help American workers and businesses compete for jobs and investments in global clean energy, high-tech products, internet technology products, and advanced manufacturing and vehicles.","416.2",NA
"We must make American manufacturing more internationally competitive by making it the greenest and most efficient in the world, including by investing in industrial energy efficiency.","416.2",NA
"Pursuing Our Innovation Agenda: Science, Research, Education, and Technology","H",NA
"Democrats support ambitious public and private investments in science, technology, and research.","411",NA
"We are focused on creating good jobs in communities across America.","701",NA
"Entrepreneurship and innovation are fundamental to our future economic growth—in the information technology (IT) industry as well as energy, manufacturing, transportation, health, retail, services, and countless other sectors.","401",NA
"We will nurture the next generation of scientists, engineers, and entrepreneurs,","411",NA
"especially women and people of color,","503",NA
"to make sure America continues to out-compete and out-innovate the rest of the world with our bold innovation agenda.","411",NA
"New technologies are already transforming our economy, and they have the power to generate trillions in economic output.","411",NA
"We must harness these forces so that they create higher-paying jobs across the country,","701",NA
"bring more people into the workforce,","701",NA
"and reduce inequality.","503",NA
"To do this, we need to educate our people","506",NA
"and train our workforce;","411",NA
"support entrepreneurship","402",NA
"and promote inclusion in the digital economy;","503",NA
"attract and retain talented people from all over the world;","410",NA
"and invest in research and development, innovation hubs, as well as in getting ideas to market.","411",NA
"We also need to ensure that all students have the opportunity to learn computer science by the time they graduate from high school.","506",NA
"Democrats believe we must harness the promise of technological innovation to promote community participation","606.1",NA
"and enhance opportunities to achieve greater economic self-sufficiency for people with disabilities.","503",NA
"We will encourage technology transfer, entrepreneurship, and small business creation throughout the country and in all types of innovation sectors.","402",NA
"High-speed internet connectivity is not a luxury; it is a necessity for 21st century economic success, social mobility, education, health care, and public safety.","411",NA
"Despite considerable progress and private investment in the last eight years to close the digital divide, there is more work to do.","411",NA
"Democrats will finish the job of connecting every household in America to high-speed broadband, increase internet adoption, and help hook up anchor institutions so they can offer free WiFi to the public.","411",NA
"We will take action to help America widely deploy 5G technology—the next generation wireless service that will not only bring faster internet connections to underserved areas, but will enable the Internet of Things and a host of transformative technologies.","411",NA
"Democrats support a free and open internet at home and abroad, and will oppose any effort by Republicans to roll back the historic net neutrality rules that the Federal Communications Commission enacted last year.","201.1",NA
"Democrats value American innovation and believe it is one of our country’s great strengths.","411",NA
"We will protect the intellectual property rights of artists, creators, and inventors at home and abroad.","201.1",NA
"The entire nation prospers when we promote the unique and original artistic and cultural contributions of the women and men who create and preserve our nation’s heritage.","201.1",NA
"Democrats will fight against unfair theft of intellectual property and trade secrets.","201.1",NA
"We will increase access to global markets for American intellectual property and other digital trade by opposing quotas, discriminatory measures, and data localization requirements.","407",NA
"Pushing beyond the boundaries of what we know is core to who we are as Americans.","601.1",NA
"Democrats are immensely proud of all that the National Aeronautics and Space Administration (NASA) has done—through its achievements in science, technology and exploration—to better understand our place in the universe","411",NA
"and inspire and educate generations of young people in this country to pursue careers in science.","411",NA
"Space exploration is a reminder that our capacity for curiosity is limitless, and may be matched only by our ability to achieve great things if we work together.","411",NA
"Democrats believe in continuing the spirit of discovery that has animated NASA’s exploration of space over the last half century.","411",NA
"We will strengthen support for NASA and work in partnership with the international scientific community to launch new missions to space.","411",NA
"Supporting America’s Small Businesses","H",NA
"The Democratic Party will make it easier to start and grow a small business in America,","403",NA
"unlike Donald Trump, who has often stiffed small businesses—nearly bankrupting some—with his deceptive and reckless corporate practices.","403",NA
"By supporting small business and entrepreneurship, we can grow jobs faster in America.","403",NA
"We will cut the red tape that holds back small businesses and entrepreneurs.","402",NA
"We will open up access to credit because we know that small businesses are some of the best job creators in our country.","403",NA
"We will provide tax relief and tax simplification.","402",NA
"And we will expand access to new markets because every American small business should be able to tap new markets — whether across their city, across their state, or around the world.","402",NA
"Democrats will provide targeted funding and support for entrepreneurship and small business growth in underserved communities.","402",NA
"Democrats also realize the critical importance of small businesses as engines of opportunity for women, people of color, tribes, and people in rural America, and will work to nurture entrepreneurship.","503",NA
"Creating Jobs for America’s Young People","H",NA
"Democrats will make investments to spur the creation of millions of jobs for our young people.","701",NA
"Roughly one in ten Americans between the ages of 16 and 24 is unemployed, more than twice the national average.","503",NA
"The unemployment rates for African American, Latino, Asian American and Pacific Islander (AAPI), and American Indian teenager sand youth with disabilities are far too high.","503",NA
"That is why Democrats will provide direct federal funding for a range of local programs that will put young people to work and create new career opportunities.","503",NA
"Fight for Economic Fairness and Against Inequality","H",NA
"Democrats believe that today’s extreme levels of income and wealth inequality are bad for our people, bad for our businesses, and bad for our economy.","503",NA
"Our country depends on a thriving middle class to drive economic growth, but the middle class is shrinking.","706",NA
"Meanwhile, the top one-tenth of one percent of Americans now own almost as much wealth as the bottom 90 percent combined.","403",NA
"These trends create problems beyond insulting our sense of basic fairness.","503",NA
"Social mobility is far lower than most believe it to be.","403",NA
"Children who are born to families in the lowest fifth of earnings are more than 10 times more likely to remain there as adults than they are to earn as much as those in the top fifth.","503",NA
"Unless we invest in building a level playing field, we all lose.","503",NA
"Reining in Wall Street and Fixing our Financial System","H",NA
"To restore economic fairness, Democrats will fight against the greed and recklessness of Wall Street.","403",NA
"Wall Street cannot be an island unto itself, gambling trillions in risky financial instruments and making huge profits, all the while thinking that taxpayers will be there to bail them out again.","403",NA
"We must tackle dangerous risks in big banks and elsewhere in the financial system.","403",NA
"We must make Wall Street work for the job-creating, productive economy—including by making loans more affordable for small- and medium-sized businesses.","403",NA
"We need to prohibit Wall Street from picking and choosing which credit agency will rate its products as well as from imposing excessive fees on consumers.","403",NA
"And we must hold both individuals and corporations accountable when they break the law.","605.1",NA
"Democrats believe that no bank can be too big to fail and no executive too powerful to jail.","403",NA
"Democrats will support stronger criminal laws and civil penalties for Wall Street criminals who prey on the public trust.","605.1",NA
"We also support extending the statute of limitations for prosecuting major financial fraud, and providing the Department of Justice, the Securities and Exchange Commission, and the Commodity Futures Trading Commission more resources to prosecute wrongdoing.","605.1",NA
"“Equal Justice Under Law” will not just be words engraved on the entrance of the Supreme Court.","503",NA
"It will be the standard that applies to Wall Street and all Americans.","403",NA
"We will also vigorously implement, enforce, and build on President Obama’s landmark Dodd-Frank financial reform law, and we will stop dead in its tracks every Republican effort to weaken it.","403",NA
"We will stop Republican efforts to hamstring our regulators through budget cuts,","403",NA
"and we will ensure they have the resources and independence to fully enforce the law and hold both individuals and corporations accountable when they break the rules.","403",NA
"We will also continue to protect consumers and defend the CFPB from Republican attacks.","403",NA
"We oppose any efforts to change the CFPB’s structure from a single director to a partisan, gridlocked Commission and likewise oppose any efforts to remove the Bureau’s independent funding and subject it to the appropriations process.","403",NA
"Democrats will also continue to support the CFPB in enforcing foundational civil rights laws protecting against discrimination in consumer lending.","503",NA
"Democrats condemn predatory payday lending, and will protect consumers by defending the CFPB and implementing strong new regulations.","403",NA
"Our goal must be to create a financial system and an economy that works for all Americans, not just a handful of billionaires.","403",NA
"We support a financial transactions tax on Wall Street to curb excessive speculation and high-frequency trading, which has threatened financial markets.","403",NA
"We acknowledge that there is room within our party for a diversity of views on a broader financial transactions tax.","403",NA
"Democrats will not hesitate to use and expand existing authorities as well as empower regulators to downsize or break apart financial institutions when necessary to protect the public and safeguard financial stability, including new authorities to go after risky shadow-banking activities.","403",NA
"Banks should not be able to gamble with taxpayers’ deposits or pose an undue risk to Main Street.","403",NA
"Democrats support a variety of ways to stop this from happening, including an updated and modernized version of Glass-Steagall as well as breaking up too-big-to-fail financial institutions that pose a systemic risk to the stability of our economy.","403",NA
"We believe that personnel is policy.","403",NA
"We will nominate and appoint regulators and officials who are not beholden to the industries they regulate—people with a track record of standing up to power and safeguarding the public trust.","403",NA
"We will crack down on the revolving door between the private sector—particularly Wall Street—and the federal government.","304",NA
"We will ban golden parachutes for those taking government jobs.","304",NA
"We will limit conflicts of interest by requiring bank and corporate regulators to recuse themselves from official work on particular matters that would directly benefit their former employers.","304",NA
"And we will bar financial service regulators from lobbying their former colleagues for at least two years.","304",NA
"We will protect and defend the Federal Reserve’s independence to carry out the dual mandate assigned to it by Congress—for both full employment and low inflation—against threats from new legislation.","403",NA
"We will also reform the Federal Reserve to make it more representative of America as a whole,","403",NA
"and we will fight to enhance its independence by ensuring that executives of financial institutions are not allowed to serve on the boards of regional Federal Reserve banks or to select members of those boards.","403",NA
"At a time when many of the largest banks have shunned communities across America, Democrats believe that we need to give Americans affordable banking options, including by empowering the United States Postal Service to facilitate the delivery of basic banking services.","403",NA
"Promoting Competition by Stopping Corporate Concentration","H",NA
"Large corporations have concentrated their control over markets to a greater degree than Americans have seen in decades","403",NA
"—further evidence that the deck is stacked for those at the top.","403",NA
"Democrats will take steps to stop corporate concentration in any industry where it is unfairly limiting competition.","403",NA
"We will make competition policy and antitrust stronger and more responsive to our economy today,","403",NA
"enhance the antitrust enforcement arms of the Department of Justice (DOJ) and the Federal Trade Commission (FTC),","403",NA
"and encourage other agencies to police anti-competitive practices in their areas of jurisdiction.","403",NA
"We support the historic purpose of the antitrust laws to protect competition and prevent excessively consolidated economic and political power,","403",NA
"which can be corrosive to a healthy democracy.","202.1",NA
"We support reinvigorating DOJ and FTC enforcement of antitrust laws to prevent abusive behavior by dominant companies,","403",NA
"and protecting the public interest against abusive, discriminatory, and unfair methods of commerce.","403",NA
"We support President Obama’s recent Executive Order, directing all agencies to identify specific actions they can take in their areas of jurisdiction to detect anticompetitive practices—such as tying arrangements, price fixing, and exclusionary conduct","403",NA
"—and to refer practices that appear to violate federal antitrust law to the DOJ and FTC.","403",NA
